# Data reformatted from https://alchemy.cs.washington.edu/data/kinships/
# Entity_1, Relation, Entity_2
0,0,45
0,0,96
1,0,45
1,0,96
2,0,86
3,0,44
3,0,88
3,0,89
3,0,93
3,0,97
3,0,100
4,0,39
4,0,90
4,0,98
4,0,101
5,0,45
5,0,96
6,0,47
7,0,45
8,0,48
8,0,80
8,0,90
8,0,101
9,0,45
9,0,96
10,0,45
10,0,96
11,0,47
12,0,29
12,0,34
12,0,39
12,0,46
12,0,82
12,0,83
12,0,86
12,0,90
12,0,98
12,0,101
13,0,18
13,0,26
13,0,30
13,0,32
13,0,35
13,0,36
13,0,44
13,0,88
13,0,89
13,0,93
13,0,97
13,0,100
13,0,103
14,0,44
14,0,88
14,0,89
14,0,93
14,0,97
14,0,100
15,0,48
15,0,80
15,0,90
15,0,101
16,0,39
16,0,90
16,0,98
16,0,101
17,0,39
17,0,90
17,0,98
17,0,101
18,0,13
18,0,53
19,0,45
19,0,96
20,0,39
20,0,98
21,0,45
21,0,96
24,0,53
26,0,13
26,0,53
29,0,12
30,0,13
30,0,53
32,0,13
32,0,53
34,0,12
35,0,13
35,0,53
36,0,13
36,0,53
39,0,4
39,0,12
39,0,16
39,0,17
39,0,20
39,0,48
39,0,50
39,0,56
39,0,59
39,0,63
39,0,77
39,0,80
39,0,85
44,0,3
44,0,13
44,0,14
45,0,0
45,0,1
45,0,5
45,0,7
45,0,9
45,0,10
45,0,19
45,0,21
45,0,52
45,0,58
45,0,61
45,0,67
46,0,12
47,0,6
47,0,11
47,0,25
47,0,28
47,0,37
47,0,54
47,0,68
47,0,76
47,0,79
48,0,8
48,0,15
48,0,39
48,0,98
50,0,39
50,0,90
50,0,98
50,0,101
52,0,45
52,0,96
53,0,18
53,0,24
53,0,26
53,0,30
53,0,32
53,0,35
53,0,36
53,0,103
54,0,47
55,0,92
55,0,96
56,0,39
56,0,98
57,0,96
58,0,96
59,0,39
59,0,98
61,0,96
63,0,39
63,0,90
63,0,98
67,0,45
73,0,2
76,0,47
77,0,39
77,0,90
77,0,98
79,0,47
80,0,8
80,0,15
80,0,39
80,0,98
82,0,12
83,0,12
85,0,39
85,0,90
85,0,98
86,0,2
88,0,3
88,0,13
88,0,14
89,0,3
89,0,13
89,0,14
90,0,4
90,0,8
90,0,12
90,0,15
90,0,16
90,0,17
90,0,48
90,0,50
90,0,63
90,0,85
93,0,3
93,0,13
93,0,14
96,0,0
96,0,1
96,0,5
96,0,7
96,0,9
96,0,10
96,0,19
96,0,21
96,0,55
97,0,3
97,0,13
97,0,14
98,0,4
98,0,12
98,0,16
98,0,17
98,0,20
98,0,48
98,0,50
98,0,56
98,0,59
98,0,63
98,0,77
98,0,80
98,0,85
100,0,3
100,0,13
100,0,14
101,0,8
101,0,12
101,0,15
101,0,56
103,0,13
1,1,69
4,1,2
5,1,28
5,1,37
5,1,43
5,1,49
6,1,27
